Name;Type;Notes;Quantity;Link;Price per item [PLN]; Total price [PLN]
heater-module-base;3D Print;;1;;;
heater-module-cap;3D Print;;1;;;
heater-module-mounting;3D Print;;1;;;
heater-module-tray-cap;3D Print;;1;;;
heater-module-tray-carriage;3D Print;;1;;;
heater-module-tray-carriage-belt-cap;3D Print;;1;;;
heater-module-tray-carriage-cap;3D Print;;1;;;
rotation-module-mounting;3D Print;;1;;;
rotation-module-mounting-bracket;3D Print;;1;;;
x-axis-carriage;3D Print;;1;;;
x-axis-carriage-cap;3D Print;;1;;;
x-axis-end;3D Print;;1;;;
x-axis-motor-mounting;3D Print;;1;;;
z-axis-carriage;3D Print;;1;;;
z-axis-carriage-bearing-cap;3D Print;;2;;;
z-axis-shafts-mounting;3D Print;;1;;;
10x2mm-magnet;External;;4;;;
17hs4023-stepper-motor;External;;2;;;
17hs8401-stepper-motor;External;;1;;;
5x8mm-flexible-coupler;External;;1;;;
bd-microlance-3-26g-needle;External;7mm needle length;1;;;
ceramic-tape-insert-40x2mm;External;;1;;;
gt2-20t-5mm-driver-pulley;External;;2;;;
gt2-20t-5mm-idle-pulley;External;;3;;;
gt2-brass-clip;External;;4;;;
lm8uu-45mm-linear-bearing;External;;2;;;
lm8uu-linear-bearing;External;;4;;;
lw980-ceramic-heater;External;;1;;;
m2-hex-nut;External;;15;;;
m2x14-cap-screw;External;;7;;;
m2x20-cap-screw;External;;22;;;
m3-square-nut;External;;26;;;
m3-washer;External;;4;;;
m3x20-round-screw;External;;2;;;
m3x25-countersink-screw;External;;14;;;
m3x25-round-screw;External;;6;;;
m3x30-countersink-screw;External;;16;;;
m3x40-countersink-screw;External;;4;;;
m5-square-nut;External;;5;;;
m5x10-countersink-screw;External;;8;;;
m5x25-round-screw;External;;1;;;
m5x70-countersink-screw;External;;4;;;
m5x8-round-screw;External;;8;;;
pololu-3042-dc-motor;External;;1;;;
tr8x2-anti-backlash-nut;External;;1;;;
v-slot-2020x200mm;External;;2;;;
v-slot-2060x250mm;External;;2;;;
v-slot-5mm-t-nut;External;;10;;;
v-slot-90-deg-bracket;External;;4;;;
wk1-01-limit-switch;External;;4;;;
base-left-side;External-custom;60x180mm plane, custom cutout;1;;;
base-right-side;External-custom;60x180mm plane, custom cutout;1;;;
base-top;External-custom;260x180mm plane, custom cutout;1;;;
heater-module-8mm-linear-shaft;External-custom;72mm length;2;;;
heater-module-gt2-timing-belt;External-custom;;1;;;
heater-module-lw980-heater-tray;External-custom;;1;;;
x-axis-8mm-linear-shaft;External-custom;200mm length;2;;;
x-axis-gt2-timing-belt;External-custom;;1;;;
z-axis-8mm-linear-shaft;External-custom;207mm length;2;;;
z-axis-tr8x2-lead-screw;External-custom;123mm length;1;;;
